neutral	oid	case_name	nw_cite	witnesses	status	notes	sample_context
2025 ND 188	20174	State v. Miller	27 N.W.3d 428	2	HOLD	WINDOW:NO_WINDOW	determination, or if it misinterprets or misapplies the law.” State v. Miller, 2025 ND 188, ¶ 7, 27 
2025 ND 217	20207	Interest of S.C.Y.	29 N.W.3d 598	2	HOLD	WINDOW:NO_WINDOW	nation proceeding under the clearly erroneous standard of review. Int. of J.C., 2025 ND 217, ¶ 6, 29
2025 ND 234	20226	State v. Medina	29 N.W.3d 868	2	HOLD	WINDOW:NO_WINDOW	. Judgment was entered. Medina appealed the criminal judgment. State v. Medina, 2025 ND 234, 29 N.W.
2025 ND 208	20197	Adoption of G.M.H.	29 N.W.3d 590	2	HOLD	WINDOW:NO_WINDOW	” Hoffman v. Jevne, 2019 ND 156, ¶ 8, 930 N.W.2d 95; see also D.A.H. v. D.A.D., 2025 ND 208, ¶ 7, 29
2025 ND 184	20170	McMahon v. Sanford, et al.	27 N.W.3d 478	2	HOLD	WINDOW:NO_WINDOW	estion of law which we review de novo on the entire record. McMahon v. Sanford, 2025 ND 184, ¶ 10, 2
2025 ND 191	20178	State v. Cotton	27 N.W.3d 450	2	HOLD	WINDOW:NO_WINDOW	a definite and firm conviction that a mistake has been made.” State v. Cotton, 2025 ND 191, ¶ 8, 27 
2026 ND 13	20317	State v. Luetzen	30 N.W.3d 868	2	HOLD	WINDOW:NO_WINDOW	in the case and affects a substantial right of the defendant. State v. Luetzen, 2026 ND 13, ¶ 11, 30
2025 ND 158	20141	State v. Pittsley	25 N.W.3d 773	2	HOLD	WINDOW:NO_WINDOW	ilt when viewed in the light most favorable to the verdict.” State v. Pittsley, 2025 ND 158, ¶ 1, 25
1997 ND 85	18278	State v. Rieger	569 N.W.2d 288	1	HOLD_SINGLE	SHARED:['1997 ND 106', '1997 ND 121', '1997 ND 85', '1997 ND 87', '1997 ND 90']	"7-05-13 citations: - ""1997 ND 85"" docket_number: ""960332"" --- Hintz v. Hintz, 1997 ND 85, 569 N.W.2d"
1997 ND 86	18279	Hintz v. Hintz	592 N.W.2d 923	1	HOLD	WINDOW:OUT[1999-04-06..1999-04-27];SHARED:['1997 ND 86', '1999 ND 22', '1999 ND 40', '1999 ND 41']	"-05-13 citations: - ""1997 ND 86"" docket_number: ""960322"" --- State v. Rieger, 1997 ND 86, 592 N.W.2d"
1997 ND 87	18280	Peterson v. Ramsey County	569 N.W.2d 288	1	HOLD_SINGLE	SHARED:['1997 ND 106', '1997 ND 121', '1997 ND 85', '1997 ND 87', '1997 ND 90']	"-05-13 citations: - ""1997 ND 87"" docket_number: ""970011"" --- Huber v. Dooher, 1997 ND 87, 569 N.W.2d"
1997 ND 90	18281	Kuller v. Kuller	569 N.W.2d 288	1	HOLD_SINGLE	SHARED:['1997 ND 106', '1997 ND 121', '1997 ND 85', '1997 ND 87', '1997 ND 90']	Kuller v. Kuller, 1997 ND 90, 569 N.W.2d 288|N.D. Supr
1997 ND 106	18248	Burr v. Kulas	569 N.W.2d 288	1	HOLD_SINGLE	SHARED:['1997 ND 106', '1997 ND 121', '1997 ND 85', '1997 ND 87', '1997 ND 90']	"1997 ND 106"" docket_number: ""970029"" --- Wittmayer v. ND Workers Comp. Bureau, 1997 ND 106, 569 N.W."
1997 ND 136	18252	Rolin Manufacturing, Inc. v. Jim Mosbruc	575 N.W.2d 224	1	HOLD_SINGLE	SHARED:['1997 ND 136', '1997 ND 183']	"-07-17 citations: - ""1997 ND 136"" docket_number: ""970089"" --- Lange v. State, 1997 ND 136, 575 N.W.2"
1997 ND 183	18253	State v. Novak	575 N.W.2d 224	1	HOLD_SINGLE	SHARED:['1997 ND 136', '1997 ND 183']	lenging the sufficiency of the evidence. We summarily affirmed. State v. Novak, 1997 ND 183, 575 N.W
1999 ND 22	18331	State of North Dakota v. Jeffrey Clark V	592 N.W.2d 923	1	HOLD_SINGLE	SHARED:['1997 ND 86', '1999 ND 22', '1999 ND 40', '1999 ND 41']	tion of his probation were resolved in prior proceedings. See State v. Vincent, 1999 ND 22, 592 N.W.
1999 ND 40	18336	State of North Dakota v. Paul E. Palmer	592 N.W.2d 923	1	HOLD_SINGLE	SHARED:['1997 ND 86', '1999 ND 22', '1999 ND 40', '1999 ND 41']	.W.2d 4; Clarys v. Ford Motor Co., 1999 ND 72, 592 N.W.2d 573; State v. Palmer, 1999 ND 40, 592 N.W.
1999 ND 41	18337	State of North Dakota v. Brian Kelly Mar	592 N.W.2d 923	1	HOLD_SINGLE	SHARED:['1997 ND 86', '1999 ND 22', '1999 ND 40', '1999 ND 41']	92 N.W.2d 573; State v. Palmer, 1999 ND 40, 592 N.W.2d 923; State v. Martineau, 1999 ND 41, 592 N.W.
2002 ND 99	18453	Matrix Properties Corp. v. JCG Investmen	647 N.W.2d 706	1	HOLD_SINGLE		awned numerous appeals. See Matrix Properties Corp. v. JCG Investments, L.L.C., 2002 ND 99, 647 N.W.
2002 ND 108	18413	Larson v. McMorrow	651 N.W.2d 692	1	HOLD_SINGLE		lence protection order was affirmed on direct appeal in *Larson v. McMorrow,* 2002 ND 108, 651 N.W.2
2003 ND 165	18462	Klingenstein v. Klingenstein	674 N.W.2d 21	1	HOLD_SINGLE		": - ""2003 ND 165"" docket_number: ""20030116"" --- Klingenstein v. Klingenstein, 2003 ND 165, 674 N.W.2"
2003 ND 80	18473	Weninger v. Grzeskowiak	664 N.W.2d 516	1	HOLD_SINGLE		ss the trial court clearly abused its discretion. *Weininger v. Grzeshowiak,* 2003 ND 80, ¶ 2, 664 N
2003 ND 28	18468	Jensen v. State  (Consol. w/20020147-148	660 N.W.2d 232	1	HOLD_SINGLE		l of court-appointed counsel, and (6) illegal extradition. *Jensen v. State,* 2003 ND 28, ¶ 4, 660 N
2004 ND 99	18503	In the Matter of the Application for Dis	679 N.W.2d 768	1	HOLD_SINGLE		pl. 5.1(B) until further order of the Court. *Disciplinary Board v. Balerud,* 2004 ND 99, 679 N.W.2d
2009 ND 114	18688	Vanderscoff v. Vanderscoff	767 N.W.2d 530	1	HOLD_SINGLE	SHARED:['2009 ND 114', '2009 ND 30']	to present a statement of her actual costs. In *Vanderscoff v. Vanderscoff,* 2009 ND 114, 767 N.W.2d
2005 ND 81	18545	Aker v. ND Department of Transportation	704 N.W.2d 286	1	HOLD_SINGLE		datory under N.D.C.C. § 39-20-03.1(3)); *Aker v. North Dakota Dep’t of Transp.,*2005 ND 81, ¶ 1, 704
2007 ND 34	18620	Gonzales v. Witzke	729 N.W.2d 334	1	HOLD_SINGLE	SHARED:['2007 ND 1', '2007 ND 34']	*See, e.g., State v. Witzke,*2009 ND 169, 776 N.W.2d 232; *Gonzales v. Witzke,*2007 ND 34, 729 N.W.2
2010 ND 209	18767	Holbach v. State (Consolidated w/ 201001	795 N.W.2d 37	1	HOLD	WINDOW:OUT[2011-03-17..2011-03-28];SHARED:['2010 ND 190', '2010 ND 209', '2010 ND 226']	denial of his first application for post-conviction relief in Holbach v. State, 2010 ND 209, 795 N.W
2012 ND 42	18907	Hangsleben v. Halverson, et al.	809 N.W.2d 833	1	HOLD_SINGLE	SHARED:['2012 ND 42', '2012 ND 50', '2012 ND 6']	il proceeding in Grand Forks County, North Dakota. See Hangsleben v. Halverson, 2012 ND 42, 809 N.W.
2010 ND 190	18756	Matter of M.D. (CONFIDENTIAL)	795 N.W.2d 37	1	HOLD	WINDOW:OUT[2011-03-17..2011-03-28];SHARED:['2010 ND 190', '2010 ND 209', '2010 ND 226']	e district court’s denial of M.D.’s second petition for discharge. *In re M.D.,*2010 ND 190, 795 N.W
2011 ND 130	18804	State v. Ennen	803 N.W.2d 834	1	HOLD_SINGLE	SHARED:['2011 ND 130', '2011 ND 174', '2011 ND 175']	y affirmance of his conviction for surreptitious intrusion. See State v. Ennen, 2011 ND 130, ¶ 1, 80
2009 ND 30	18715	State v. Steen (Consolidated w/20080244 	767 N.W.2d 530	1	HOLD_SINGLE	SHARED:['2009 ND 114', '2009 ND 30']	Steen’s claim for credit for time served was res judicata under State v. Steen, 2009 ND 30, ¶ 1, 767
2012 ND 6	18916	State v. Swearingen	809 N.W.2d 838	1	HOLD	CONFLICT:['809 N.W.2d 833', '809 N.W.2d 838'];SHARED:['2012 ND 4', '2012 ND 6']	urt’s decision, which this Court summarily affirmed in *State v. Swearingen,* 2012 ND 6, 809 N.W.2d 
2012 ND 6	18916	State v. Swearingen	809 N.W.2d 833	1	HOLD	CONFLICT:['809 N.W.2d 833', '809 N.W.2d 838'];SHARED:['2012 ND 42', '2012 ND 50', '2012 ND 6']	idence was insufficient to sustain his conviction. *See State v. Swearingen,* 2012 ND 6, 809 N.W.2d 
2013 ND 15	18940	Dakota Heritage Bank v. Pankonin, et al.	828 N.W.2d 546	1	HOLD_SINGLE	SHARED:['2013 ND 1', '2013 ND 15', '2013 ND 2']	the order for sanctions was not appealed. *Dakota Heritage Bank v. Pankonin,* 2013 ND 15, ¶¶ 1-2, 82
2011 ND 174	18812	State v. Owens	803 N.W.2d 834	1	HOLD_SINGLE	SHARED:['2011 ND 130', '2011 ND 174', '2011 ND 175']	s sexual imposition, and his conviction was affirmed on appeal. State v. Owens, 2011 ND 174, 803 N.W
2013 ND 179	18948	Sweeney v. Kirby (cross-reference w/2012	841 N.W.2d 2	1	HOLD_SINGLE		motion, and the order denying the motion was affirmed in *Sweeney v. Kirby,* 2013 ND 179, 841 N.W.2d
2015 ND 49	19121	Kirkpatrick v. State (cross-reference w/	861 N.W.2d 172	1	HOLD_SINGLE	SHARED:['2015 ND 22', '2015 ND 25', '2015 ND 27', '2015 ND 48', '2015 ND 49', '2015 ND 51', '2015 ND 53', '2015 ND 54']	rkpatrick’s application, and the judgment was affirmed in Kirkpatrick v. State, 2015 ND 49, 861 N.W.
2015 ND 48	19120	Holkesvig v. Hutton, et al.	861 N.W.2d 172	1	HOLD_SINGLE	SHARED:['2015 ND 22', '2015 ND 25', '2015 ND 27', '2015 ND 48', '2015 ND 49', '2015 ND 51', '2015 ND 53', '2015 ND 54']	rocess. 2015 ND 67, ¶ 4, 861 N.W.2d 488; *see generally Holkesvig v. Hutton,* 2015 ND 48, 861 N.W.2d
2015 ND 8	19131	State v. Washburn	861 N.W.2d 173	1	HOLD_SINGLE	SHARED:['2015 ND 45', '2015 ND 50', '2015 ND 8']	fuse to submit to a warrantless chemical test. [¶ 2] In *State v. Washburn,* 2015 ND 8, 861 N.W.2d 1
2012 ND 4	18905	Lenton v. Lenton	809 N.W.2d 838	1	HOLD_SINGLE	SHARED:['2012 ND 4', '2012 ND 6']	ation of his child support obligation in that action. *See Lenton v. Lenton,* 2012 ND 4, 809 N.W.2d 
2015 ND 50	19123	Wojahn v. Levi	861 N.W.2d 173	1	HOLD_SINGLE	SHARED:['2015 ND 45', '2015 ND 50', '2015 ND 8']	t did not violate a driver’s rights under the Fourth Amendment. Wojahn v. Levi, 2015 ND 50, ¶ 1, 861
2015 ND 54	19127	Myers v. State	861 N.W.2d 172	1	HOLD_SINGLE	SHARED:['2015 ND 22', '2015 ND 25', '2015 ND 27', '2015 ND 48', '2015 ND 49', '2015 ND 51', '2015 ND 53', '2015 ND 54']	after revoking his probation. This Court summarily affirmed in Myers v. State, 2015 ND 54, ¶ 1, 861 
2015 ND 166	19070	State v. Horvath (consolidated w/2014046	870 N.W.2d 26	1	HOLD_SINGLE	SHARED:['2015 ND 159', '2015 ND 160', '2015 ND 162', '2015 ND 166', '2015 ND 198']	rs. This Court summarily affirmed the criminal judgments. See State v. Horvath, 2015 ND 166, 870 N.W
2018 ND 61	19331	State v. Kremer	907 N.W.2d 403	1	HOLD	WINDOW:NO_WINDOW	"ess consideration than parties represented by counsel."" *State v. Kremer* , 2018 ND 61 , ¶ 7, 907 N."
2018 ND 55	19324	Snider, et al. v. Dickinson Elks Buildin	907 N.W.2d 397	1	HOLD	WINDOW:NO_WINDOW	e to the party opposing the motion. *Snider v. Dickinson Elks Bldg., LLC* , 2018 ND 55 , ¶ 9, 907 N.
2016 ND 226	19179	State v. Butts	888 N.W.2d 206	1	HOLD_SINGLE		on an unsuccessful motion to withdraw his guilty plea in *State v. Butts* , 2016 ND 226 , 888 N.W.2d
2016 ND 178	19156	Davies v. State	885 N.W.2d 579	1	HOLD_SINGLE		istrict court in December 2015, and affirmed on appeal. *Davies v. State* , 2016 ND 178 , 885 N.W.2d
2015 ND 53	19126	Pederson v. State	861 N.W.2d 172	1	HOLD_SINGLE	SHARED:['2015 ND 22', '2015 ND 25', '2015 ND 27', '2015 ND 48', '2015 ND 49', '2015 ND 51', '2015 ND 53', '2015 ND 54']	D 163, ¶ 6, 801 N.W.2d 691 (citing N.D.C.C.§ 29-32.1-12(1)); Pederson v. State, 2015 ND 53, ¶ 2, 861
2018 ND 36	19303	St. Alexius Medical Center v. N.D. Dep't	906 N.W.2d 343	1	HOLD	WINDOW:NO_WINDOW	rejudice or detriment. See St. Alexius Med. Ctr. v. N.D. Dep’t of Human Servs., 2018 ND 36, ¶ 13, 90
2018 ND 6	19329	Interest of Z.B. (Confidential)	905 N.W.2d 561	1	HOLD	WINDOW:NO_WINDOW	y supports the termination of D.W.'s parental rights. *In Interest of Z.B.,* 2018 ND 6 , ¶ 1, 905 N.
2015 ND 256	19094	Interest of T.A.G.	872 N.W.2d 633	1	HOLD_SINGLE		ge. T.A.G. appealed the 2012 order and this Court affirmed. Interest of T.A.G., 2015 ND 256, 872 N.W
2019 ND 265	19411	State v. Wallace	935 N.W.2d 257	1	HOLD	WINDOW:NO_WINDOW	on a Rule 29 motion for acquittal for an abuse of discretion. State v. Wallace, 2019 ND 265, ¶ 1 , 9
2019 ND 288	19434	Neutman v. N.D. Dep't of Transportation	935 N.W.2d 788	1	HOLD	WINDOW:NO_WINDOW	sed in 2005, with no action by the Legislative Assembly. Neutman v. N.D. Dep’t, 2019 ND 288 , 935 N.
2015 ND 159	19063	Curtiss v. State	870 N.W.2d 26	1	HOLD_SINGLE	SHARED:['2015 ND 159', '2015 ND 160', '2015 ND 162', '2015 ND 166', '2015 ND 198']	803 N.W.2d 834; Curtiss v. State, 2015 ND 83, 865 N.W.2d 124; Curtiss v. State, 2015 ND 159, 870 N.W
2018 ND 18	19269	State v. Adams	905 N.W.2d 3	1	HOLD	CONFLICT:['905 N.W.2d 3', '905 N.W.2d 758'];WINDOW:NO_WINDOW	y in an area is reviewed under the de novo standard of review.” State v. Adams, 2018 ND 18, ¶ 9 , 90
2020 ND 13	19484	State v. Lail	937 N.W.2d 558	1	HOLD_SINGLE		e exists which, if believed, could lead to a not guilty verdict. State v. Lail, 2020 ND 13, ¶ 2 , 93
2020 ND 165	19501	Varty v. Varty	946 N.W.2d 713	1	HOLD_SINGLE		le for just such a rare occasion and exceptional circumstance.” Varty v. Varty, 2020 ND 165 , ¶ 10, 
2020 ND 102	19460	Hewitt v. NDDOT	942 N.W.2d 459	1	HOLD_SINGLE		Department’s decision to suspend or revoke driving privileges. Hewitt v. Henke, 2020 ND 102, ¶ 7, 94
2020 ND 193	19512	Jorgenson v. NDDOT	948 N.W.2d 809	1	HOLD_SINGLE		n adjudicative proceeding. N.D.C.C. § 28-32-24(1); see also Jorgenson v. Sorel, 2020 ND 193, ¶ 12, 9
2019 ND 295	19441	Open Road Trucking v. Swanson, et al.	936 N.W.2d 72	1	HOLD_SINGLE		cases, which was on appeal at the time. See Open Road Trucking, LLC v. Swanson, 2019 ND 295 , 936 N.
2019 ND 300	19447	State v. Komrosky	936 N.W.2d 82	1	HOLD_SINGLE		inside an individual’s home are presumptively unreasonable. State v. Komrosky, 2019 ND 300, ¶ 11 , 9
2018 ND 2	19272	Saucedo v. State	905 N.W.2d 562	1	HOLD	WINDOW:NO_WINDOW	rict court denied his application, and we summarily affirmed. Saucedo v. State, 2018 ND 2 , 905 N.W.
2020 ND 169	19503	Interest of K.V. (CONFIDENTIAL)	946 N.W.2d 518	1	HOLD_SINGLE		at exception to the warrant requirement justified the search. Interest of K.V., 2020 ND 169, ¶¶ 13-1
2013 ND 42	18978	Froistad v. Schmalenberger, et al.	832 N.W.2d 334	1	HOLD_SINGLE	SHARED:['2013 ND 41', '2013 ND 42', '2013 ND 63']	ore the North Dakota Supreme Court in the case of Froistad v. Schmalenberger, 2013 ND 42 , 832 N.W.2
2020 ND 72	19568	Interest of A.P.D.S.P.-G. (CONFIDENTIAL)	940 N.W.2d 602	1	HOLD_SINGLE		inuance due to K.C. II’s absence at the hearing. See Interest of A.P.D.S.P.-G., 2020 ND 72, ¶ 8, 940
2020 ND 259	19540	Sather v. Sather	952 N.W.2d 98	1	HOLD_SINGLE		ies and certain orders enumerated by statute are appealable. Sather v. Sather, 2020 ND 259, ¶ 5 , 95
2013 ND 233	18974	Matter of Muscha	841 N.W.2d 1	1	HOLD_SINGLE		D.C.C. ch. 25-03.3. Muscha appealed, and this Court affirmed. See In re Muscha, 2013 ND 233 , 841 N.
2022 ND 42	19700	Vacancy in Judgeship No. 6, ECJD	970 N.W.2d 518	1	HOLD_SINGLE		e its need for additional judicial resources. Vacancy in Judgeship No. 6, ECJD, 2022 ND 42, 970 N.W.
2019 ND 241	19387	State v. Gregory	933 N.W.2d 469	1	HOLD	WINDOW:NO_WINDOW	ter. Gregory appealed her conviction and this Court affirmed. State v. Gregory, 2019 ND 241 , 933 N.
2020 ND 265	19546	State v. Sackenreuter	952 N.W.2d 82	1	HOLD_SINGLE		where the defendant entered a conditional guilty plea.” State v. Sackenrueter, 2020 ND 265, ¶¶ 4, 7 
2020 ND 96	19580	Rath v. Rath	942 N.W.2d 464	1	HOLD_SINGLE		ating to Mark Rath’s voluminous post-judgment motions. See, e.g., Rath v. Rath, 2020 ND 96 , 942 N.W
2020 ND 121	19476	State v. McGowen	943 N.W.2d 817	1	HOLD_SINGLE		we conclude the district court acted within statutory limits. State v. McGowen, 2020 ND 121, ¶ 25, 9
2021 ND 17	19602	Willprecht v. Willprecht	934 N.W.2d 707	1	HOLD	CONFLICT:['934 N.W.2d 707', '954 N.W.2d 707'];WINDOW:OUT[2019-10-03..2019-10-03]	ing the district court’s findings, the majority cites Willprecht v. Willprecht, 2021 ND 17, ¶ 11, 93
2020 ND 267	19548	McCarvel, et al. v. Perhus, et al.	952 N.W.2d 1	1	HOLD	CONFLICT:['952 N.W.2d 1', '952 N.W.2d 86']	f review, and its conclusions of law are fully reviewable.” McCarvel v. Perhus, 2020 ND 267, ¶ 9 , 9
2020 ND 253	19535	Kuntz v. Leiss, et al.	952 N.W.2d 35	1	HOLD_SINGLE		, its failure to do so does not warrant reversing the judgment. Kuntz v. Leiss, 2020 ND 253, ¶ 7 , 9
2021 ND 12	19587	R & F Financial Services v. North Americ	953 N.W.2d 665	1	HOLD_SINGLE		ribed in the Restatement. R & F Fin. Serv., LLC v. Cudd Pressure Control, Inc., 2021 ND 12, ¶ 19 , 9
2020 ND 90	19577	WSI v. Avila, et al.	942 N.W.2d 811	1	HOLD_SINGLE		Agencies Practice Act, N.D.C.C. ch. 28-32. Workforce Safety and Ins. v. Avila, 2020 ND 90, ¶ 6, 942 
2021 ND 205	19613	Interest of A.D. (CONFIDENTIAL)	966 N.W.2d 540	1	HOLD_SINGLE		o the extent” the juvenile court adopts them. Interest of Guardianship of A.D., 2021 ND 205, ¶ 3, 96
2022 ND 35	19698	Pavlicek v. American Steel Systems, Inc.	970 N.W.2d 171	1	HOLD_SINGLE		the trial court are presumptively correct. Pavlicek v. Am. Steel Sys., Inc., 2022 ND 35 , ¶ 6, 970 N
2019 ND 242	19388	Carlson v. State	933 N.W.2d 618	1	HOLD	WINDOW:NO_WINDOW	he analysis of the best interest factors was dispositive. See Carlson v. State, 2019 ND 242, ¶ 2 , 9
2020 ND 244	19530	State v. Wilkinson	950 N.W.2d 761	1	HOLD_SINGLE	SHARED:['2020 ND 244', '2020 ND 246']	exists to sustain the conviction, and this Court affirmed. State v. Wilkinson, 2020 ND 244 , 950 N.W
2023 ND 16	19744	Larson Latham Huettl v. Iversen	985 N.W.2d 662	1	HOLD_SINGLE		law that we review de novo on the record. Larson Latham Huettl LLP v. Iversen, 2023 ND 16, ¶ 5 , 985
2020 ND 246	19532	State v. Richardson	950 N.W.2d 761	1	HOLD_SINGLE	SHARED:['2020 ND 244', '2020 ND 246']	that he acted in self-defense. We affirmed the conviction. State v. Richardson, 2020 ND 246, ¶ 1 , 9
2023 ND 88	19736	Legacie-Lowe v. Lowe	990 N.W.2d 592	1	HOLD_SINGLE		icient findings to enable this Court to review the order. Legacie-Lowe v. Lowe, 2023 ND 88, ¶ 1, 990
2020 ND 29	19552	State v. Brown	938 N.W.2d 404	1	HOLD_SINGLE		nd this Court summarily affirmed under N.D.R.App.P. 35.1(a)(4). State v. Brown, 2020 ND 29, 938 N.W.
2021 ND 189	19608	Interest of A.S.F. (CONFIDENTIAL)	965 N.W.2d 870	1	HOLD_SINGLE		s following entry of an order terminating parental rights.” Interest of A.S.F., 2021 ND 189, ¶ 11, 9
2023 ND 42	19819	Kainz, et al. v. Jacam Chemical Co. 2013	987 N.W.2d 320	1	HOLD_SINGLE		here is no statutory basis for the appeal.” Kainz v. Jacam Chem. Co. 2013, LLC, 2023 ND 42, ¶ 9 , 98
2022 ND 190	19681	Addai v. State	982 N.W.2d 287	1	HOLD_SINGLE		"and are governed by the North Dakota Rules of Civil Procedure."" Addai v. State, 2022 ND 190, ¶ 6, 98"
2023 ND 56	19823	State v. K.J.A. (Confidential)	988 N.W.2d 595	1	HOLD_SINGLE		s matters of law. This Court reviews questions of law de novo. State v. K.J.A., 2023 ND 56, ¶ 3, 988
2018 ND 32	19299	State v. Shaw (cross-reference w/2015019	905 N.W.2d 905	1	HOLD	WINDOW:NO_WINDOW	ct of a rational mental process leading to a reasoned decision.” State v. Shaw, 2018 ND 32, ¶ 6, 905
2020 ND 113	19467	Voigt v. Nelson	943 N.W.2d 783	1	HOLD_SINGLE		g Lindberg v. Lindberg, 2009 ND 136, ¶ 4, 770 N.W.2d 252); see Voigt v. Nelson, 2020 ND 113, ¶ 6, 94
2023 ND 124	19725	Estate of Ewing	993 N.W.2d 358	1	HOLD_SINGLE		in, must generally be in writing under the statute of frauds.” Matter of Ewing, 2023 ND 124 , ¶ 16, 
2023 ND 183	19769	Jones v. Rath	996 N.W.2d 305	1	HOLD_SINGLE		1.2-01(4). Final restraining orders supersede temporary orders. Jones v. Rath, 2023 ND 183 , ¶ 5, 99
2022 ND 142	19655	State v. Koon	977 N.W.2d 740	1	HOLD_SINGLE		llenging the sufficiency of evidence, and we summarily affirmed. State v. Koon, 2022 ND 142, 977 N.W
2022 ND 151	19663	Sailer, et al. v. Sailer, et al.	978 N.W.2d 699	1	HOLD	WINDOW:NO_WINDOW	failed to plead a prima facie case for nonparent visitation. Sailer v. Sailer, 2022 ND 151, ¶5, 978 
2023 ND 186	19772	Disciplinary Board v. Pilch (consolidate	996 N.W.2d 325	1	HOLD_SINGLE		ciplinary Bd. v. Pilch, 2023 ND 162, 994 N.W.2d 390; Disciplinary Bd. v. Pilch, 2023 ND 186, 996 N.W
2023 ND 187	19773	Disciplinary Board v. Pilch	996 N.W.2d 302	1	HOLD_SINGLE		inary Bd. v. Pilch, 2023 ND 186, 996 N.W.2d 325; and Disciplinary Bd. v. Pilch, 2023 ND 187, 996 N.W
2023 ND 105	19714	Brown v. State	991 N.W.2d 41	1	HOLD_SINGLE		nsel’s representation was below the standard of reasonableness. Brown v. State, 2023 ND 105, ¶ 4, 99
2020 ND 58	19563	Sapa, et al. v. Lofthus	940 N.W.2d 612	1	HOLD_SINGLE		v. Beckstrand, 2017 ND 20, ¶ 10, 890 N.W.2d 213; see also Jerri L. v. Lofthus, 2020 ND 58, ¶ 4, 940 
2023 ND 208	19795	State v. Yalartai	997 N.W.2d 609	1	HOLD_SINGLE		R.Crim.P. The standard of review is abuse of discretion. See State v. Yalartai, 2023 ND 208, ¶ 8, 99
2023 ND 143	19737	DOCR v. Louser, et al.	994 N.W.2d 148	1	HOLD_SINGLE		2021 ND 137, ¶ 6, 962 N.W.2d 612); see also Dep’t of Corr. & Rehab. v. Louser, 2023 ND 143, ¶ 4, 994
2019 ND 234	19380	Cichos v. Dakota Eye Institute, P.C.	933 N.W.2d 452	1	HOLD	WINDOW:NO_WINDOW	granted Defendant's motion to dismiss. In Cichos v. Dakota Eye Institute, P.C., 2019 ND 234, 933 N.W
2022 ND 182	19679	Northern Oil & Gas v. EOG Resources, et 	981 N.W.2d 314	1	HOLD_SINGLE		ment was effective on delivery. See Northern Oil & Gas, Inc. v. EOG Res., Inc., 2022 ND 182, ¶ 9, 98
2022 ND 85	19709	Energy Transfer, et al. v. ND Private In	973 N.W.2d 394	1	HOLD_SINGLE		time for appeal.’” Energy Transfer LP v. N.D. Private Investigative & Sec. Bd., 2022 ND 85, ¶ 17, 97
2024 ND 31	20001	Nelson v. Nelson, et al.	3 N.W.3d 133	1	HOLD	WINDOW:NO_WINDOW	g of fact based upon an inference supported by the evidence.” Nelson v. Nelson, 2024 ND 31, ¶ 6, 3 N
2022 ND 215	19689	Watson v. State (consolidated w/20220104	982 N.W.2d 604	1	HOLD_SINGLE		ve rejected the plea agreement and insisted on going to trial. Watson v. State, 2022 ND 215, ¶ 11, 9
2023 ND 202	19789	State v. Gonzales	997 N.W.2d 97	1	HOLD_SINGLE		State v. Pippin, 496 N.W.2d 50, 52-53 (N.D. 1993)); see also State v. Gonzales, 2023 ND 202, ¶¶ 4-5,
2023 ND 181	19767	Isac v. State	996 N.W.2d 296	1	HOLD_SINGLE		N.D.C.C. ch. 29-32.1, governs postconviction relief proceedings. Isac v. State, 2023 ND 181, ¶ 5, 99
2019 ND 274	19420	State v. Maines (consolidated w/20180396	935 N.W.2d 665	1	HOLD	WINDOW:NO_WINDOW	ng limits or substantially relied on an impermissible factor.” State v. Maines, 2019 ND 274, ¶ 4, 93
2021 ND 4	19627	State v. Evanson (consolidated w/2020005	953 N.W.2d 607	1	HOLD_SINGLE		ot lawfully be imposed in that case under any circumstances.” State v. Evanson, 2021 ND 4, ¶ 7, 953 
2024 ND 38	20008	Archambault v. State	4 N.W.3d 212	1	HOLD	CONFLICT:['4 N.W.3d 212', '4 N.W.3d 312']	in the wide range of reasonable professional assistance.” Archambault v. State, 2024 ND 38, ¶ 6, 4 N
2022 ND 43	19701	Malloy, et al. v. Behrens	971 N.W.2d 392	1	HOLD_SINGLE		sale. Behrens appealed from an order confirming the sale. In Malloy v. Behrens, 2022 ND 43, 971 N.W.
2024 ND 135	19880	East Central Water District v. City of G	9 N.W.3d 705	1	HOLD_SINGLE		cted and the legislative history.” E. Cent. Water Dist. v. City of Grand Forks, 2024 ND 135, ¶ 8, 9 
2024 ND 91	20067	Solberg v. Hennessy	6 N.W.3d 820	1	HOLD_SINGLE		oes not depend on which judicial officer decides the case. Solberg v. Hennessy, 2024 ND 91, ¶ 2, 6 N
2024 ND 102	19844	Estate of Almer	7 N.W.3d 281	1	HOLD	WINDOW:NO_WINDOW	te and firm conviction that a mistake has been made.’” Matter of Est. of Almer, 2024 ND 102, ¶ 9, 7 
2024 ND 26	19995	WSI v. Kringlie, et al.	2 N.W.3d 709	1	HOLD_SINGLE		from administrative orders. State ex rel. Workforce Safety & Ins. v. Kringlie, 2024 ND 26, ¶ 7, 2 N.
2023 ND 76	19829	Sandberg v. WSI, et al.	989 N.W.2d 460	1	HOLD_SINGLE		an administrative order is “limited.” Sandberg v. N.D. Workforce Safety & Ins., 2023 ND 76, ¶ 6, 989
2020 ND 91	19578	Kastet v. NDDOT	942 N.W.2d 453	1	HOLD_SINGLE		overns the review of a decision to suspend driving privileges. Kastet v. Henke, 2020 ND 91, ¶¶ 6, 14
